payload_size slaves_processing message_id half_rtt_ms
50000 none 9 63.372
50000 none 8 69.3379
50000 none 7 76.6204
50000 none 6 87.3428
100000 none 8 81.4733
100000 none 0 105.912
100000 none 5 131.687
100000 none 2 156.728
100000 none 1 182.863
100000 none 3 208.942
100000 none 4 233.787
100000 none 7 259.753
100000 none 6 286.112
100000 none 9 313.031
100000 none 8 79.8899
100000 none 0 103.421
100000 none 2 128.309
100000 none 1 150.416
100000 none 5 171.559
100000 none 3 192.357
100000 none 6 213.523
100000 none 7 234.458
100000 none 9 258.295
100000 none 4 280.548
100000 none 8 50.1289
100000 none 0 70.6459
100000 none 5 92.5741
100000 none 7 114.658
100000 none 3 136.598
100000 none 6 157.671
100000 none 1 178.577
100000 none 4 200.639
100000 none 2 222.597
100000 none 9 249.686
100000 none 3 26.3172
100000 none 0 37.3223
100000 none 2 47.2707
100000 none 8 59.0748
100000 none 6 75.3048
100000 none 5 85.2173
100000 none 1 97.2617
100000 none 4 116.193
100000 none 9 135.196
100000 none 7 151.723
100000 none 8 58.653
100000 none 0 78.1577
100000 none 1 103.148
100000 none 9 126.135
100000 none 3 148.183
100000 none 6 169.951
100000 none 2 193.035
100000 none 4 215.827
100000 none 5 237.962
100000 none 7 263.12
100000 none 8 32.8801
100000 none 4 47.1453
100000 none 5 64.3518
100000 none 0 80.3125
100000 none 1 98.283
100000 none 2 115.02
100000 none 6 135.122
100000 none 3 155.057
100000 none 9 175.086
100000 none 7 195.345
100000 none 8 48.6122
100000 none 5 70.9946
100000 none 0 94.7948
100000 none 3 117.815
100000 none 1 139.969
100000 none 2 160.992
100000 none 7 183.89
100000 none 9 204.746
100000 none 6 225.901
100000 none 4 250.084
100000 none 8 50.8673
100000 none 0 71.327
100000 none 5 93.1341
100000 none 2 114.352
100000 none 1 138.08
100000 none 9 159.208
100000 none 3 182.215
100000 none 7 204.304
100000 none 6 225.204
100000 none 4 249.314
100000 none 8 50.9268
100000 none 0 69.2102
100000 none 5 91.3657
100000 none 2 113.461
100000 none 3 132.227
100000 none 6 155.299
100000 none 1 177.196
100000 none 7 198.264
100000 none 9 220.194
100000 none 4 244.466
100000 none 8 50.9619
100000 none 0 72.5643
100000 none 1 96.5435
100000 none 2 117.627
100000 none 5 138.54
100000 none 4 159.614
100000 none 3 181.647
100000 none 7 203.413
100000 none 6 225.506
100000 none 9 241.639
500000 none 0 62.4429
500000 none 1 126.354
500000 none 5 210.562
500000 none 8 275.502
500000 none 2 380.756
500000 none 9 480.309
500000 none 7 573.531
500000 none 3 657.54
500000 none 6 752.237
500000 none 4 814.338
500000 none 0 140.874
500000 none 1 243.755
500000 none 3 348.769
500000 none 2 448.899
500000 none 5 529.903
500000 none 7 606.527
500000 none 8 656.409
500000 none 4 726.858
500000 none 9 807.531
500000 none 6 888.93
500000 none 8 103.795
500000 none 0 186.189
500000 none 1 286.642
500000 none 9 390.033
500000 none 5 483.244
500000 none 7 566.254
500000 none 3 657.526
500000 none 4 747.246
500000 none 2 839.6
500000 none 6 935.341
500000 none 1 67.3446
500000 none 3 165.479
500000 none 4 263.3
500000 none 5 376.462
500000 none 0 454.438
500000 none 9 560.201
500000 none 2 658.661
500000 none 6 747.463
500000 none 8 809.99
500000 none 7 912.075
500000 none 0 59.9454
500000 none 8 111.958
500000 none 3 208.831
500000 none 6 296.781
500000 none 5 382.707
500000 none 4 477.879
500000 none 9 579.607
500000 none 7 687.782
500000 none 2 803.167
500000 none 1 912.034
500000 none 0 63.2863
500000 none 9 112.16
500000 none 1 198.146
500000 none 5 290.269
500000 none 8 348.276
500000 none 3 420.219
500000 none 7 513.118
500000 none 4 621.358
500000 none 2 717.925
500000 none 6 823.992
500000 none 8 80.4963
500000 none 0 152.109
500000 none 9 255.039
500000 none 4 345.08
500000 none 1 434.151
500000 none 5 520.383
500000 none 2 610.354
500000 none 3 743.106
500000 none 7 827.174
500000 none 6 917.185
500000 none 8 63.9897
500000 none 1 114.892
500000 none 4 202.063
500000 none 6 289.037
500000 none 2 375.202
500000 none 0 461.911
500000 none 7 569.056
500000 none 9 683.063
500000 none 5 762.087
500000 none 3 841.224
500000 none 8 130.058
500000 none 0 214.517
500000 none 5 303.45
500000 none 1 391.025
500000 none 4 490.614
500000 none 7 587.701
500000 none 3 683.613
500000 none 2 785.937
500000 none 6 880.75
500000 none 9 976.765
500000 none 3 101.726
500000 none 8 163.779
500000 none 1 284.025
500000 none 7 397
500000 none 0 484.063
500000 none 4 587.233
500000 none 6 683.104
500000 none 2 775.495
500000 none 5 870.757
500000 none 9 975.361
1000000 none 5 108.325
1000000 none 2 276.656
1000000 none 3 457.36
1000000 none 8 575.318
1000000 none 1 738.595
1000000 none 4 922.41
1000000 none 9 1100.09
