payload_size delay num_messages message_id arrival_rank rtt_ms
8000000 constant 10 0 0 2825.11
8000000 constant 10 1 1 3753.38
8000000 constant 10 3 2 4558.64
8000000 constant 10 2 3 5657.98
8000000 constant 10 4 4 6440.4
8000000 constant 10 5 5 7192.87
8000000 constant 10 6 6 7955.32
8000000 constant 10 9 7 8462.87
8000000 constant 10 7 8 9586.6
8000000 constant 10 8 9 10347.9
8000000 constant 10 1 0 3189.3
8000000 constant 10 0 1 4260.34
8000000 constant 10 3 2 5010.97
8000000 constant 10 2 3 5947.32
8000000 constant 10 5 4 6574.55
8000000 constant 10 4 5 7730.66
8000000 constant 10 6 6 8440.21
8000000 constant 10 7 7 9316.78
8000000 constant 10 8 8 10270.3
8000000 constant 10 9 9 11018.4
8000000 constant 10 0 0 2929.39
8000000 constant 10 1 1 3746.23
8000000 constant 10 3 2 4435.49
8000000 constant 10 2 3 5571.64
8000000 constant 10 4 4 6394.36
8000000 constant 10 5 5 7255.25
8000000 constant 10 6 6 8056.65
8000000 constant 10 9 7 8601.63
8000000 constant 10 8 8 9754.44
8000000 constant 10 7 9 10686.9
8000000 constant 10 1 0 3027.25
8000000 constant 10 0 1 3984.11
8000000 constant 10 3 2 4690.54
8000000 constant 10 2 3 5754.99
8000000 constant 10 4 4 6376.09
8000000 constant 10 6 5 7029.38
8000000 constant 10 5 6 7983.88
8000000 constant 10 7 7 8930.49
8000000 constant 10 9 8 9794.24
8000000 constant 10 8 9 10731.8
8000000 constant 10 0 0 2981.1
8000000 constant 10 1 1 3747.03
8000000 constant 10 3 2 4564.7
8000000 constant 10 2 3 5649.47
8000000 constant 10 6 4 6180.62
8000000 constant 10 4 5 7313.83
8000000 constant 10 5 6 8100.14
8000000 constant 10 8 7 8847.56
8000000 constant 10 9 8 9754.09
8000000 constant 10 7 9 10747.9
8000000 constant 10 0 0 2922.17
8000000 constant 10 1 1 3700.74
8000000 constant 10 3 2 4554.1
8000000 constant 10 2 3 5594.57
8000000 constant 10 4 4 6399.43
8000000 constant 10 5 5 7323.35
8000000 constant 10 6 6 8117.14
8000000 constant 10 7 7 9091.37
8000000 constant 10 9 8 9913.93
8000000 constant 10 8 9 11109.3
8000000 constant 10 0 0 2833.04
8000000 constant 10 1 1 3726.98
8000000 constant 10 2 2 4632.16
8000000 constant 10 3 3 5510.64
8000000 constant 10 5 4 6280.26
8000000 constant 10 4 5 7163.28
8000000 constant 10 6 6 7887.22
8000000 constant 10 9 7 8648.02
8000000 constant 10 7 8 9735.15
8000000 constant 10 8 9 10754.9
8000000 constant 10 0 0 2815.16
8000000 constant 10 1 1 3665.87
8000000 constant 10 2 2 4624.93
8000000 constant 10 3 3 5575.99
8000000 constant 10 4 4 6317.5
8000000 constant 10 6 5 7087.02
8000000 constant 10 5 6 8143.23
8000000 constant 10 7 7 8901.6
8000000 constant 10 9 8 9693.56
8000000 constant 10 8 9 10807.7
8000000 constant 10 0 0 2920.01
8000000 constant 10 1 1 3843.48
8000000 constant 10 3 2 4690.35
8000000 constant 10 2 3 5643.38
8000000 constant 10 4 4 6490.35
8000000 constant 10 6 5 7216.8
8000000 constant 10 5 6 8154.24
8000000 constant 10 9 7 8688.46
8000000 constant 10 7 8 9804.21
8000000 constant 10 8 9 10833.6
8000000 constant 10 0 0 2907.97
8000000 constant 10 1 1 3763.12
8000000 constant 10 3 2 4506.62
8000000 constant 10 2 3 5471.11
8000000 constant 10 4 4 6399.88
8000000 constant 10 5 5 7080.42
8000000 constant 10 6 6 7915.33
8000000 constant 10 7 7 8919.46
8000000 constant 10 9 8 9550.87
8000000 constant 10 8 9 10619.1
8000000 constant 4 0 0 2293.1
8000000 constant 4 1 1 3221.35
8000000 constant 4 2 2 4015.26
8000000 constant 4 3 3 4896.33
8000000 constant 4 0 0 2263.25
8000000 constant 4 1 1 3291.27
8000000 constant 4 2 2 4312.56
8000000 constant 4 3 3 5257.98
8000000 constant 4 0 0 2094.58
8000000 constant 4 1 1 2884.27
8000000 constant 4 2 2 3797.09
8000000 constant 4 3 3 4775.92
8000000 constant 4 0 0 2270.15
8000000 constant 4 1 1 3242.72
8000000 constant 4 3 2 4093.36
8000000 constant 4 2 3 5025.25
8000000 constant 4 0 0 2108.6
8000000 constant 4 1 1 2891.59
8000000 constant 4 3 2 3728.85
8000000 constant 4 2 3 4721.84
8000000 constant 4 0 0 2339.23
8000000 constant 4 1 1 3134.98
8000000 constant 4 2 2 4056.82
8000000 constant 4 3 3 4926.91
8000000 constant 4 0 0 2196.92
8000000 constant 4 1 1 3028.3
8000000 constant 4 3 2 3803.51
8000000 constant 4 2 3 4843.37
8000000 constant 4 0 0 2076.13
8000000 constant 4 1 1 2908.13
8000000 constant 4 2 2 3824.32
8000000 constant 4 3 3 4712.9
8000000 constant 4 0 0 2182.52
8000000 constant 4 1 1 2945.71
8000000 constant 4 3 2 3743.45
8000000 constant 4 2 3 4810.96
8000000 constant 4 0 0 2236.35
8000000 constant 4 1 1 3119.21
8000000 constant 4 2 2 3938.29
8000000 constant 4 3 3 4749.72
8000000 constant 1 0 0 1915.67
